Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,Open,LJ,,Ao,R,R,R,R,R,R,R,R,R,R,R,R,R,,OPEN
,,,,,Ko,R,R,R,R,R,R,R,R,R,R,,,,,
,,,,,Qo,R,R,R,R,R,R,,,,,,,,,
,,,,,Jo,R,R,R,R,R,,,,,,,,,,
,,,,,To,R,,,,R,R,,,,,,,,,
,,,,,9o,,,,,,R,,,,,,,,,
,,,,,8o,,,,,,,R,,,,,,,,
,,,,,7o,,,,,,,,R,,,,,,,
,,,,,6o,,,,,,,,,,,,,,,
,,,,,5o,,,,,,,,,,,,,,,
,,,,,4o,,,,,,,,,,,,,,,
,,,,,3o,,,,,,,,,,,,,,,
,,,,,2o,,,,,,,,,,,,,,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,Open,HJ,,Ao,R,R,R,R,R,R,R,R,R,R,R,R,R,,
,,,,,Ko,R,R,R,R,R,R,R,R,R,R,,,,,
,,,,,Qo,R,R,R,R,R,R,R,,,,,,,,
,,,,,Jo,R,R,R,R,R,R,,,,,,,,,
,,,,,To,R,R,R,,R,R,,,,,,,,,
,,,,,9o,R,,,,,R,,,,,,,,,
,,,,,8o,,,,,,,R,,,,,,,,
,,,,,7o,,,,,,,,R,,,,,,,
,,,,,6o,,,,,,,,,R,,,,,,
,,,,,5o,,,,,,,,,,,,,,,
,,,,,4o,,,,,,,,,,,,,,,
,,,,,3o,,,,,,,,,,,,,,,
,,,,,2o,,,,,,,,,,,,,,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,Open,CO,,Ao,R,R,R,R,R,R,R,R,R,R,R,R,R,,
,,,,,Ko,R,R,R,R,R,R,R,R,R,R,R,R,,,
,,,,,Qo,R,R,R,R,R,R,R,R,R,R,,,,,
,,,,,Jo,R,R,R,R,R,R,R,R,,,,,,,
,,,,,To,R,R,R,R,R,R,R,,,,,,,,
,,,,,9o,R,R,,,,R,R,,,,,,,,
,,,,,8o,R,,,,,,R,,,,,,,,
,,,,,7o,,,,,,,,R,,,,,,,
,,,,,6o,,,,,,,,,R,,,,,,
,,,,,5o,,,,,,,,,,R,,,,,
,,,,,4o,,,,,,,,,,,R,,,,
,,,,,3o,,,,,,,,,,,,R,,,
,,,,,2o,,,,,,,,,,,,,R,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,Open,BTN,,Ao,R,R,R,R,R,R,R,R,R,R,R,R,R,,
,,,,,Ko,R,R,R,R,R,R,R,R,R,R,R,R,R,,
,,,,,Qo,R,R,R,R,R,R,R,R,R,R,R,R,R,,
,,,,,Jo,R,R,R,R,R,R,R,R,R,R,R,,,,
,,,,,To,R,R,R,R,R,R,R,R,R,,,,,,
,,,,,9o,R,R,R,R,R,R,R,R,R,,,,,,
,,,,,8o,R,R,,,,,R,R,R,,,,,,
,,,,,7o,R,,,,,,,R,R,R,,,,,
,,,,,6o,R,,,,,,,,R,R,,,,,
,,,,,5o,R,,,,,,,,,R,R,,,,
,,,,,4o,R,,,,,,,,,,R,,,,
,,,,,3o,R,,,,,,,,,,,R,,,
,,,,,2o,,,,,,,,,,,,,R,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,
6,100,Open,SB,,Ao,R,R,R,R,R,R,R,R,R,R,R,R,R,,
,,,,,Ko,R,R,R,R,R,R,R,R,R,R,R,R,R,,
,,,,,Qo,R,R,R,R,R,R,R,R,R,R,R,R,R,,
,,,,,Jo,R,R,R,R,R,R,R,R,R,R,R,,,,
,,,,,To,R,R,R,R,R,R,R,R,R,,,,,,
,,,,,9o,R,R,R,R,R,R,R,R,R,,,,,,
,,,,,8o,R,R,,,,,R,R,R,,,,,,
,,,,,7o,R,,,,,,,R,R,R,,,,,
,,,,,6o,R,,,,,,,,R,R,,,,,
,,,,,5o,R,,,,,,,,,R,R,,,,
,,,,,4o,R,,,,,,,,,,R,,,,
,,,,,3o,R,,,,,,,,,,,R,,,
,,,,,2o,,,,,,,,,,,,,R,,
Players,Stacks,Scenario,Hero,Villain,,As,Ks,Qs,Js,Ts,9s,8s,7s,6s,5s,4s,3s,2s,,VS RAISE
6,100,vs Raise,HJ,LJ,Ao,R,R,R,R,R,R,F,F,F,R,R,F,F,,
,,,,,Ko,R,R,R,R,R,F,F,F,F,F,F,F,F,,
,,,,,Qo,R,R,R,R,F,F,F,F,F,F,F,F,F,,
,,,,,Jo,F,F,F,R,F,F,F,F,F,F,F,F,F,,
,,,,,To,F,F,F,F,F,F,F,F,F,F,F,F,F,,
